                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2588,                0.99818,                 1.5162,                0.68458,                0.71139,                0.76016,                0.52643,                 1.3946,                  1.412,                 1.8952,             0.00067449,             0.00067449,             0.00067449
                     35,                 1.2354,                0.96087,                 1.5039,                0.64042,                0.70606,                0.67855,                0.45785,                 1.4664,                 1.5325,                 1.8796,             0.00065091,             0.00065091,             0.00065091
                     36,                 1.2524,                0.95527,                 1.5022,                0.71084,                0.67544,                0.72091,                0.48464,                 1.4213,                 1.4114,                 1.8948,             0.00062733,             0.00062733,             0.00062733
                     37,                 1.2118,                0.93109,                 1.4802,                 0.6053,                0.68905,                0.69905,                 0.4734,                 1.4023,                 1.6539,                 1.8861,             0.00060375,             0.00060375,             0.00060375
                     38,                 1.2006,                0.92483,                 1.4801,                0.66706,                0.76547,                0.76691,                 0.5141,                 1.4141,                 1.2915,                 1.9022,             0.00058017,             0.00058017,             0.00058017
                     39,                 1.2049,                0.91113,                 1.4808,                0.61616,                0.72213,                0.73131,                0.50738,                 1.4299,                 1.5251,                 1.8997,              0.0005566,              0.0005566,              0.0005566
                     40,                 1.2155,                0.91756,                 1.4862,                0.71447,                0.72693,                0.78962,                 0.5378,                 1.3919,                 1.3263,                   1.89,             0.00053302,             0.00053302,             0.00053302
                     41,                 1.1767,                0.87776,                 1.4559,                0.66144,                0.75141,                0.72092,                0.50824,                 1.3892,                 1.4216,                 1.8677,             0.00050944,             0.00050944,             0.00050944
                     42,                 1.1968,                0.89887,                 1.4739,                0.69048,                0.69818,                0.72233,                0.50819,                  1.463,                 1.4149,                 1.9332,             0.00048586,             0.00048586,             0.00048586
                     43,                 1.1811,                0.88541,                 1.4609,                0.77486,                0.70166,                0.78058,                  0.555,                  1.345,                  1.337,                 1.8762,             0.00046228,             0.00046228,             0.00046228
                     44,                 1.1813,                0.86475,                 1.4675,                0.70479,                0.73023,                0.78251,                0.54922,                 1.3358,                 1.4154,                 1.8653,              0.0004387,              0.0004387,              0.0004387
                     45,                 1.1733,                0.86976,                  1.442,                0.67771,                0.79724,                0.79876,                0.55508,                 1.3653,                 1.2955,                 1.8523,             0.00041512,             0.00041512,             0.00041512
                     46,                  1.151,                0.85171,                 1.4379,                0.70071,                0.74552,                0.79043,                0.56208,                 1.3529,                 1.2829,                 1.8533,             0.00039155,             0.00039155,             0.00039155
                     47,                 1.1498,                0.84618,                 1.4219,                0.67739,                0.81179,                 0.7991,                0.55864,                  1.342,                 1.2273,                 1.8375,             0.00036797,             0.00036797,             0.00036797
                     48,                 1.1496,                0.81573,                 1.4234,                0.74895,                0.71921,                0.79059,                0.56211,                 1.3159,                 1.3089,                 1.8042,             0.00034439,             0.00034439,             0.00034439
                     49,                 1.1317,                0.82898,                  1.409,                0.71067,                0.73967,                0.79723,                 0.5684,                 1.2968,                 1.3426,                 1.7891,             0.00032081,             0.00032081,             0.00032081
                     50,                 1.1255,                0.82365,                 1.4061,                0.68487,                0.77284,                0.81326,                0.57856,                 1.2993,                 1.1982,                 1.7838,             0.00029723,             0.00029723,             0.00029723
                     51,                 1.0604,                0.72319,                 1.4324,                0.74572,                0.76014,                0.80759,                0.57925,                  1.323,                  1.233,                  1.834,             0.00027365,             0.00027365,             0.00027365
                     52,                 1.0286,                0.68372,                 1.4137,                0.71682,                0.76115,                 0.8083,                0.57205,                 1.3199,                 1.2573,                 1.8154,             0.00025007,             0.00025007,             0.00025007
                     53,                 1.0208,                0.66866,                 1.3951,                0.67875,                0.77831,                0.80327,                0.56897,                 1.3464,                 1.3245,                 1.8426,              0.0002265,              0.0002265,              0.0002265
                     54,                 1.0084,                0.65784,                 1.3903,                0.80244,                0.72898,                0.81735,                0.58336,                 1.3026,                 1.2139,                 1.8067,             0.00020292,             0.00020292,             0.00020292
                     55,                0.99061,                0.63236,                 1.3815,                0.78939,                0.74658,                0.80882,                0.56243,                 1.3276,                 1.2855,                 1.8398,             0.00017934,             0.00017934,             0.00017934
                     56,                0.98888,                0.62596,                 1.3764,                0.73314,                0.77511,                0.81594,                 0.5816,                 1.2959,                 1.2405,                 1.8033,             0.00015576,             0.00015576,             0.00015576
                     57,                0.97681,                0.61505,                  1.374,                0.74634,                0.76992,                0.81783,                0.57464,                 1.3097,                 1.1994,                  1.829,             0.00013218,             0.00013218,             0.00013218
                     58,                0.96272,                0.61471,                 1.3518,                0.79169,                0.76115,                 0.8196,                0.57685,                 1.3214,                 1.1791,                 1.8354,              0.0001086,              0.0001086,              0.0001086
                     59,                0.96204,                0.60473,                 1.3577,                0.77871,                0.76407,                0.82194,                0.57544,                 1.3244,                 1.2476,                 1.8509,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     60,                0.94485,                0.59231,                 1.3338,                0.76746,                0.75896,                0.81765,                0.57904,                 1.3014,                 1.2453,                 1.8323,             6.1447e-05,             6.1447e-05,             6.1447e-05
